machine_id,cycle,day,day_in_cycle,temperature,vibration,rpm,load,service_flag,failure_event
1,1,1,1,70.64,0.0771,1448.2,88.3,0,0
1,1,2,2,71.05,0.0879,1445.2,86.4,0,0
1,1,3,3,72.63,0.0931,1444.8,89.6,0,0
1,1,4,4,68.74,0.0887,1448.5,77.6,0,0
1,1,5,5,67.32,0.0596,1447.8,59.7,0,0
1,1,6,6,66.6,0.083,1446.1,48.1,0,0
1,1,7,7,67.74,0.0726,1450.0,58.5,0,0
1,1,8,8,69.5,0.0859,1448.8,75.5,0,0
1,1,9,9,69.29,0.1055,1441.9,73.2,0,0
1,1,10,10,66.51,0.0602,1444.5,45.0,0,0
1,1,11,11,69.66,0.0779,1447.7,75.7,0,0
1,1,12,12,67.03,0.0881,1449.9,48.6,0,0
1,1,13,13,67.66,0.0577,1445.3,49.5,0,0
1,1,14,14,69.79,0.0819,1447.3,71.5,0,0
1,1,15,15,65.48,0.0746,1451.3,51.7,0,0
1,1,16,16,75.2,0.1024,1446.5,95.5,0,0
1,1,17,17,69.3,0.082,1449.1,75.0,0,0
1,1,18,18,68.95,0.0766,1446.1,71.6,0,0
1,1,19,19,69.16,0.055,1449.5,57.7,0,0
1,1,20,20,68.08,0.068,1447.0,55.9,0,0
1,1,21,21,68.39,0.0674,1446.7,70.3,0,0
1,1,22,22,68.09,0.0845,1445.7,66.3,0,0
1,1,23,23,68.55,0.077,1446.0,54.1,0,0
1,1,24,24,69.24,0.0926,1446.8,61.0,0,0
1,1,25,25,69.65,0.0618,1446.4,71.5,0,0
1,1,26,26,67.46,0.0873,1446.9,39.6,0,0
1,1,27,27,66.33,0.0715,1447.2,37.1,0,0
1,1,28,28,66.53,0.075,1451.4,53.3,0,0
1,1,29,29,68.5,0.0753,1448.0,56.8,0,0
1,1,30,30,73.64,0.1076,1447.5,91.3,0,0
1,1,31,31,75.54,0.1029,1446.5,98.0,0,0
1,1,32,32,73.71,0.1141,1450.6,86.4,0,0
1,1,33,33,69.35,0.0831,1447.5,57.9,0,0
1,1,34,34,71.47,0.0857,1451.5,79.6,0,0
1,1,35,35,70.41,0.0753,1444.8,71.4,0,0
1,1,36,36,69.17,0.0532,1447.8,46.0,0,0
1,1,37,37,69.55,0.0747,1448.9,72.2,0,0
1,1,38,38,74.96,0.1141,1449.4,88.9,0,0
1,1,39,39,68.14,0.0679,1445.1,61.4,0,0
1,1,40,40,70.03,0.0968,1452.1,46.9,0,0
1,1,41,41,67.19,0.0541,1448.1,35.0,0,0
1,1,42,42,71.48,0.0617,1449.2,78.6,0,0
1,1,43,43,69.23,0.0919,1449.0,72.9,0,0
1,1,44,44,75.15,0.0699,1448.9,89.3,0,0
1,1,45,45,70.67,0.0642,1446.6,73.3,0,0
1,1,46,46,70.4,0.0905,1448.9,73.3,0,0
1,1,47,47,68.15,0.0404,1448.5,38.9,0,0
1,1,48,48,68.88,0.0767,1447.4,43.3,0,0
1,1,49,49,69.19,0.0959,1446.1,51.3,0,0
1,1,50,50,70.16,0.0936,1446.1,74.5,0,0
1,1,51,51,73.03,0.0797,1444.1,81.5,0,0
1,1,52,52,69.01,0.0987,1449.6,63.9,0,0
1,1,53,53,70.08,0.0723,1446.2,55.6,0,0
1,1,54,54,70.4,0.0883,1443.1,63.0,0,0
1,1,55,55,69.45,0.0686,1448.9,51.2,0,0
1,1,56,56,74.15,0.092,1446.9,81.3,0,0
1,1,57,57,72.22,0.0771,1451.5,75.9,0,0
1,1,58,58,70.22,0.0964,1450.4,62.6,0,0
1,1,59,59,68.07,0.0887,1447.3,38.5,0,0
1,1,60,60,76.14,0.0945,1448.3,98.0,0,0
1,1,61,61,70.81,0.0977,1445.1,71.9,0,0
1,1,62,62,70.39,0.0618,1451.8,62.3,0,0
1,1,63,63,72.75,0.0859,1448.4,77.8,0,0
1,1,64,64,75.75,0.1072,1445.3,91.3,0,0
1,1,65,65,70.44,0.0928,1450.9,68.6,0,0
1,1,66,66,70.87,0.0817,1443.0,61.3,0,0
1,1,67,67,71.09,0.106,1448.1,70.1,0,0
1,1,68,68,70.59,0.1026,1444.9,55.3,0,0
1,1,69,69,69.77,0.0657,1442.2,58.2,0,0
1,1,70,70,71.79,0.0724,1444.2,70.7,0,0
1,1,71,71,71.61,0.0801,1442.9,75.3,0,0
1,1,72,72,73.61,0.0869,1449.0,80.9,0,0
1,1,73,73,70.11,0.0785,1451.0,65.8,0,0
1,1,74,74,74.09,0.0729,1445.8,90.6,0,0
1,1,75,75,71.02,0.0877,1449.1,58.1,0,0
1,1,76,76,69.21,0.0714,1451.8,52.5,0,0
1,1,77,77,75.9,0.0829,1448.9,92.3,0,0
1,1,78,78,72.59,0.08,1449.2,79.8,0,0
1,1,79,79,76.13,0.0801,1448.6,87.2,0,0
